,coordinates,count,lng,lat,max_dist
0,-46.5955455_-23.682803,593294,-46.5955455,-23.682803,5.33853302104014
1,46.68507665_24.7219434,522796,46.68507665,24.7219434,55.2454676428363
2,-118.4119065_34.0207895,494502,-118.4119065,34.0207895,6.317798437245818
3,-100.0768885_31.1688935,426615,-100.0768885,31.1688935,46.79454586787996
4,-43.441577900000006_-22.9114217,421546,-43.441577900000006,-22.9114217,0.0
5,-47.796623_-15.776253700000002,382875,-47.796623,-15.776253700000002,123.50883274551617
6,-51.1593094_-30.09983615,321963,-51.1593094,-30.09983615,9.842954470623516
7,29.0052228_41.0213205,317586,29.0052228,41.0213205,15.261083906283789
8,-95.4464865_29.8384948,298133,-95.4464865,29.8384948,14.667380227369506
9,-73.9685415_40.780709,281524,-73.9685415,40.780709,2.8907820980827625
10,53.67497435_32.39654265,281254,53.67497435,32.39654265,421.459114240791
11,72.874244_19.17414,277872,72.874244,19.17414,13.590849373043346
12,-80.0954175_8.421672899999999,262791,-80.0954175,8.421672899999999,87.5759511144932
13,-74.2436709985792_4.262283502812155,262114,-74.2436709985792,4.262283502812155,56.76663064457614
14,34.9684285_31.342253,260091,34.9684285,31.342253,154.11962471919222
15,36.86362025_-1.27486335,253570,36.86362025,-1.27486335,16.99852602628515
16,-75.117998_40.0048655,244917,-75.117998,40.0048655,10.034677883660299
17,39.25412865_21.585710749999997,241929,39.25412865,21.58571075,15.273229843568226
18,-83.1738665_32.6782075,241134,-83.1738665,32.6782075,0.0
19,-49.28846045_-25.4952494,237176,-49.28846045,-25.4952494,9.399160051937958
20,-43.9598225_-19.918692,234011,-43.9598225,-19.918692,0.0
21,-59.9803255_-2.572425,228426,-59.9803255,-2.572425,150.35611665867546
22,-73.9487755_40.655138,228399,-73.9487755,40.655138,2.102381061803373
23,-3.7035075500000003_40.477794700000004,225017,-3.70350755,40.4777947,3.9753146867077644
24,-117.10498915_32.8100122,221614,-117.10498915,32.8100122,16.593064907163104
25,-79.2725695_43.629311,210835,-79.2725695,43.629311,9.45579673830753
26,-95.44648649999999_29.8384948,208369,-95.4464865,29.8384948,2.3460579586329366
27,-38.519890000000004_-3.789768,198357,-38.51989,-3.789768,14.550792971181675
28,-48.45979749999999_-1.2729295,197921,-48.45979749999999,-1.2729295,11.840425234797088
29,-87.732013_41.833584450000004,196995,-87.732013,41.83358445,9.91922577345421
30,77.095086_28.6384895,193833,77.095086,28.6384895,78.86154419893037
31,2.3470029500000003_48.85883375,187922,2.3470029500000003,48.85883375,0.23435145038488653
32,-77.60468399999999_41.1179365,184168,-77.60468399999999,41.1179365,56.51091825437053
33,-90.011008_29.982601,182697,-90.011008,29.982601,6.902368596430799
34,-64.19802555000001_-31.4154566,180646,-64.19802555000001,-31.4154566,29.145254637759322
35,-60.029848_-37.1475765,180073,-60.029848,-37.1475765,81.65632773132528
36,-34.939349_-8.043603,170713,-34.939349,-8.043603,9.76088069107431
37,-38.502647499999995_-12.875334500000001,168178,-38.5026475,-12.8753345,48.7909411683643
38,-43.4415779_-22.9114217,168058,-43.4415779,-22.9114217,0.0
39,27.006510849999998_38.4079305,165865,27.00651085,38.4079305,59.42393139908106
40,-98.5406515_29.417501,160716,-98.5406515,29.417501,11.78343529853254
41,-96.7617535_32.819858499999995,159223,-96.7617535,32.819858499999995,5.794666250210204
42,55.55117235_24.99346225,158543,55.55117235,24.99346225,36.09454048087958
43,-79.27256949999999_43.629311,157640,-79.27256949999999,43.629311,0.0
44,12.54514535_41.8984164,157251,12.54514535,41.8984164,15.773163621406125
45,-74.24367099857919_4.262283502812155,156423,-74.24367099857919,4.262283502812155,0.0
46,77.09508600000001_28.6384895,153156,77.09508600000001,28.6384895,12.182031315351077
47,-3.70350755_40.4777947,153057,-3.70350755,40.4777947,8.817325360095836
48,-57.485178_-25.5465908,150944,-57.485178,-25.5465908,107.55051140559577
49,43.6853045_33.224875,149737,43.6853045,33.224875,76.38741130846056
50,-43.9598225_-19.918692000000004,148900,-43.9598225,-19.918692000000004,18.82437162460709
51,-84.433106_33.7671944,144124,-84.433106,33.7671944,4.2529261871341095
52,-0.18429355_5.6231983,143862,-0.18429355,5.6231983,9.317108382904133
53,-97.75472415_30.323345699999997,143649,-97.75472415,30.3233457,8.720028090541625
54,-49.2612991_-16.64278245,142040,-49.2612991,-16.64278245,29.49816065194669
55,-75.6192130002448_6.2708829976530005,139943,-75.6192130002448,6.2708829976530005,6.237517377369918
56,150.93197479999998_-33.84824400225,137962,150.93197479999998,-33.84824400225,66.13987345156606
57,24.6699433_-28.4794852,134788,24.6699433,-28.4794852,332.7464389518547
58,-56.22989_-34.819747500000005,134689,-56.22989,-34.819747500000005,9.120681984929137
59,-96.7617535_32.8198585,133576,-96.7617535,32.8198585,4.533088352103437
60,145.05313534399997_-37.972566514250005,133152,145.05313534399997,-37.972566514250005,19.051690750013453
61,-80.8467855_35.209058999999996,132896,-80.8467855,35.209059,19.122779298396424
62,7.42409415_9.073663849999999,132315,7.42409415,9.07366385,18.40925165733754
63,-79.42086499999999_38.003375500000004,132147,-79.42086499999999,38.0033755,70.28417910198516
64,-98.5406515_29.417500999999994,131934,-98.5406515,29.417500999999994,39.241407295736764
65,-34.88337085_-7.1494765000000005,131131,-34.88337085,-7.1494765000000005,82.23332904528748
66,-79.86103374999999_35.1704985,128011,-79.86103374999999,35.1704985,35.54579396045019
67,-97.75472415000002_30.323345699999997,126748,-97.75472415000002,30.3233457,21.750755505537008
68,-80.926628_33.6311395,124892,-80.926628,33.6311395,16.968403357622247
69,2.14122735_41.39265665,121527,2.14122735,41.39265665,2.2872532890224346
70,145.053135344_-37.972566514250005,120836,145.053135344,-37.972566514250005,131.02104091300842
71,-119.30660750000001_37.2691755,118759,-119.3066075,37.2691755,50.70319442592154
72,-112.12467670000001_33.5528626,118282,-112.1246767,33.5528626,12.426407523526015
73,-1.8906405_52.4939665,118243,-1.8906405,52.4939665,8.707796887074675
74,72.35549850000001_30.864107500000006,118242,72.35549850000001,30.864107500000006,48.656038978952395
75,-58.4426431_-34.604315,114804,-58.4426431,-34.604315,6.159797590908234
76,-80.0911930029877_-2.5129950002854047,114480,-80.0911930029877,-2.5129950002854047,97.83136800676613
77,-77.604684_41.117936500000006,114142,-77.604684,41.117936500000006,0.0
78,-122.4359785_37.7706565,114030,-122.4359785,37.7706565,26.385942231919476
